SMILES,IC50 value(nM),P_active_mean,P_active_std,Final_Label
CN1CC2=CC(=C(C=C2OC3=C1C(=NC=N3)OC4=CC(=CC=C4)Br)OC)OC,1200.0,0.0,0.0,Inactive
CCOC1=C(C=C(C=C1)C2=NN(C3=NC=NC(=C23)N)C4CCCC4)OC,1400.0,0.0,0.0,Inactive
C#Cc1cccc(Nc2ncnc3cc(OCCOC)c(OCCOC)cc23)c1,20.0,1.0,0.0,Active
COc1ccccc1C(Cc1coc2nc(N)nc(N)c12)C(C)C,18200.0,0.0,0.0,Inactive
C#Cc1cccc(Nc2ncnc3cc(OCCOC(=O)C(C)c4ccc(CC(C)C)cc4)c(OCCOC)cc23)c1,9.0,1.0,0.0,Active
COC(=O)c1ccc(OC)c(-c2cc3c(N[C@H](C)c4ccccc4)ncnc3s2)c1,7.0,1.0,0.0,Active
Nc1ncnc2c1c(-c1ccc(O)cc1)cn2C1CCNC1,2670.0,0.0,0.0,Inactive
COC1=C(C=C2C(=C1)C(=C(C=N2)C(=O)O)NC3=CC(=C(C=C3)F)Cl)OC,9284.0,0.0,0.0,Inactive
C1CCC(C1)N2C3=NC=NC(=C3C(=N2)C4=CC=C(C=C4)CNC(=O)C5=CC6=CC=CC=C6N5)N,5500.0,0.0,0.0,Inactive
COc1ccccc1C(Cc1coc2nc(N)nc(N)c12)C1CC1,56500.0,0.0,0.0,Inactive
CC(C)(CN1C2=C(C=C(C=C2)CC#N)N=C1NC(=O)C3=CC(=NC=C3)C4=CN(N=C4)C)O,6.8,1.0,0.0,Active
CC1=CC=C(C=C1)C2CC(=NN2C3=NC(=CS3)C4=CC=C(C=C4)Cl)C5=CC=C(C=C5)OC,4680.0,0.0,0.0,Inactive
C=CC(=O)N1CCC(CC1)NC2=CN=CC(=C2)C3=CN=C(N=C3)NC4=CC=CC=N4,3390.0,0.0,0.0,Inactive
OCc1ccc(-c2cc3c(NCc4ccccc4)ncnc3[nH]2)cc1,1.0,1.0,0.0,Active
N#C/C(=C\c1cc(O)c(O)c([N+](=O)[O-])c1)C(=O)NCCCNC(=O)/C(C#N)=C/c1cc(O)c(O)c([N+](=O)[O-])c1,35000.0,0.0,0.0,Inactive
CN(C)c1ccc(Nc2ncnc3ccncc23)c(N)c1,4897.79,0.0,0.0,Inactive
Cc1cccc(CN(Cc2ccc(O)cc2)C(=O)Nc2ccccc2)c1O,7510.0,0.0,0.0,Inactive
CCOc1cc2ncc(C#N)c(Nc3ccc(F)c(Cl)c3)c2cc1NC(=O)/C=C/CN(C)CCF,0.8,1.0,0.0,Active
COc1cc(O)c(C(=O)O)c(-c2cc(O)c(O)cc2C)c1,9.8,1.0,0.0,Active
CC1=C2C=NN(C2=CC(=N1)C3=C(C=CN=C3)OC)C4=NC(=C5C(=C4)N(C(=N5)N6CCNCC6)C)N7C[C@H]8C[C@@H]7CO8,0.9,1.0,0.0,Active
CC(C)N(Cc1ccccc1)c1ncnc2[nH]c(-c3ccc(CO)cc3)cc12,4.5,1.0,0.0,Active
COc1cc2ncc(C#N)c(Nc3cccc(NC(C)=O)c3)c2cc1OC,69400.0,0.0,0.0,Inactive
CC1=C2C=NN(C2=CC(=N1)C3=C(C=CN=C3)OC)C4=NC(=C5C(=C4)N(C(=N5)N6CCN(CC6)CCOC)C)OC7CCOCC7,6.8,1.0,0.0,Active
C1=CC(=CC(=C1)Br)NC2=NC=NC3=CC(=C(C=C32)N)N,0.12,1.0,0.0,Active
Nc1ncnc2c1c(-c1cccc(OCc3ccccc3)c1)cn2[C@H]1C[C@@H](CN2CCC2)C1,5200.0,0.0,0.0,Inactive
N#C/C(=C\c1cc(O)ccc1O)C(N)=O,10000.0,0.0,0.0,Inactive
CC1=CC2=CC(=N1)C3=C(N(N=C3)C)OCCC[C@H](CN4C5=C(C=C(C=C5)N[C@@H](C)CCN6CCCCC6)N=C4NC2=O)C7CC7,0.077,1.0,0.0,Active
CC1=CC2=CC(=N1)C3=C(N(N=C3)C)OCCC[C@H](CN4C5=C(C=C(C=C5)N[C@H](C)CCN6CCCCC6)N=C4NC2=O)C7CC7,0.076,1.0,0.0,Active
CN1CCN(CC1)CCCNC2=NC=C3C(=C2)N=CN=C3NC4=CC(=CC=C4)Br,4.898,1.0,0.0,Active
CC(C)(CN1C2=C(C=C(C=C2)C3CCN(CC3)C)N=C1NC(=O)C4=CC(=NC=C4)C5=C6N=CC=CN6N=C5)O,0.6,1.0,0.0,Active
COC1=C(C=C2C(=C1)C(=NC=N2)NC3=CC(=CC(=C3)C(F)(F)F)F)OC.Cl,19.1,1.0,0.0,Active
COC1=C(C=NC=C1)C2=CC(=CC(=N2)C#N)C(=O)NC3=NC4=C(N3C5CCC(CC5)O)C=CC(=C4)CN6CCOCC6,3.0,1.0,0.0,Active
CN1CCC2=C(C1=O)C(=C(N2)C3=CC(=NC=C3)NC(=O)CC4=CC=C(C=C4)F)NC5=CC=CC=C5,1200.0,0.0,0.0,Inactive
CC1=CC(=C(C=C1N2CCC3(CC2)CN(C3)C)OC)NC4=NC=C(C(=N4)NC5=C(C6=CC=CC=C6C=C5)P(=O)(C)C)Cl,0.485,1.0,0.0,Active
N#C/C(=C\c1ccc(O)cc1)C(=O)O,165000.0,0.0,0.0,Inactive
CC(C)n1nc(-c2ccc3nccnc3c2)c2c(N)ncnc21,18000.0,0.0,0.0,Inactive
COc1cc(/C=C2\CCC/C(=C\c3ccc(O)cc3)C2=O)cc(OC)c1,4600.0,0.0,0.0,Inactive
CN1C2=C(C=CC=C2OC)C(=C1SSC3=C(C4=C(N3C)C(=CC=C4)OC)C(=O)NC5=CC=CC=C5)C(=O)NC6=CC=CC=C6,6500.0,0.0,0.0,Inactive
CCOc1cc2ncnc(C#Cc3c[nH]nc3-c3ccc(F)cc3)c2cc1OCC,1.8,1.0,0.0,Active
COc1cc2c(cc1OC)Sc1ncnc(Nc3ccc4c[nH]nc4c3)c1NC2,14100.0,0.0,0.0,Inactive
CCOC1=C(C2=C(C=C1)N=CN=C2NC3=CC(=C(C=C3)OC4=CC5=NC=NN5C=N4)C)N6CC(C6)N(C)C,6700.0,0.0,0.0,Inactive
C=CC(=O)NC1=CC=CC(=C1)NC2=NC(=NC=C2C(F)(F)F)NC3=C(C=C(C=C3)N4CCOCC4)OC(F)F,1.0,1.0,0.0,Active
C=CC(=O)Nc1cc(Nc2nccc(Nc3cn(C)c4ccccc34)n2)c(OC)cc1N(C)CCN(C)C(=O)OC,2909.0,0.0,0.0,Inactive
C=CC(=O)NC1=C(C=C2C(=C1)C(=NC=N2)CC3=CC(=CC=C3)Br)OCCCN4CCOCC4,3.631,1.0,0.0,Active
CN1CCC(CC1)OC2=C(C=C3C(=C2)C(=NC=N3)NC4=CC(=C(C=C4)F)Cl)OC,10.0,1.0,0.0,Active
C=CC(=O)NC1=C(C=C2C(=C1)C(=NC=N2)NC3=CC(=C(C=C3)F)Br)OCCCN4CCOCC4,1.8,1.0,0.0,Active
CC1=C(N(C2=C(N=C(C=C12)N3C4=CC(=NC(=C4C=N3)C)C5=C(C=CN=C5)OC)C(C)C)C)C(=O)N6CCN(CC6)C,5.3,1.0,0.0,Active
